,name,release_date,total_tracks,artist
0,Rock And Roll Over,1976-11-11,10,KISS
1,Rock 'N' Roll,1975-02-17,13,John Lennon
2,Save Rock And Roll,2013-04-12,11,Fall Out Boy
3,The Rolling Stones Rock And Roll Circus (Expanded),2019-06-07,28,The Rolling Stones
4,Rock and Roll Hall of Fame Volume 5: 1998-1999,2011-11-15,21,Various Artists
5,Rock and Roll For Kids,2014-11-18,36,Various Artists
6,Rock And Roll Part Three,2001-08-21,11,Ozma
7,Rock and Roll Hall of Fame Volume 8: 2004-2005,2011-11-15,22,Various Artists
8,Rock and Roll Night Club,2012-03-13,12,Mac DeMarco
9,Rock 'N' Roll Rarities,1986-01-01,20,Chuck Berry
10,Rock N Roll / Haunted Man,2025-10-08,2,Langhorne Slim
11,I Love Rock 'N' Roll (Expanded Edition),1981-11-18,15,Joan Jett & the Blackhearts
12,Ultimate Hits: Rock And Roll Never Forgets (Remastered),2011-11-21,26,Bob Seger
13,A Rock And Roll Alternative,1976-12,8,Atlanta Rhythm Section
14,Rock & Roll,2022-05-03,1,stoneda5th
15,Save Rock And Roll,2013-04-12,11,Fall Out Boy
16,Rock n Roll Jesus,2007-10-09,12,Kid Rock
17,Rock & Roll,2025-08-22,1,Oliver Malcolm
18,The Best of Rock and Roll Hall of Fame + Museum Live,2011-11-01,51,Various Artists
19,Death By Rock And Roll,2021-02-12,12,The Pretty Reckless
20,Rocknroll,2023-01-06,1,16teen
21,Hot Rocks 1964-1971,1971-12-20,21,The Rolling Stones
22,Rock n Roll Jesus,2007-10-09,12,Kid Rock
23,Rock & Roll Strategy,1988-01-01,11,38 Special
24,Rockin' Roll Baby,1973-10-23,10,The Stylistics
